row_num,user,password_enabled,password_last_used,password_last_changed,mfa_active,access_key_1_active,access_key_1_last_used_date,access_key_1_last_used_service,access_key_2_active,access_key_2_last_used_date,access_key_2_last_used_service,user_group,user_attached_policy
1,blake.belladonna,true,no_information,2021-04-13T04:30:27+00:00,False,False,,,False,,,console-read-only,
2,finance-manager,true,2020-01-08T18:57:00+00:00,2020-01-08T18:25:55+00:00,False,False,,,False,,,finance-full-access,
3,finance-user,true,no_information,2020-01-08T18:27:22+00:00,False,False,,,False,,,finance-read-only,
4,helpdesk,true,no_information,2021-04-13T04:07:07+00:00,False,False,,,False,,,helpdesk,
5,jaune.arc,true,no_information,2021-04-29T04:00:06+00:00,False,False,,,False,,,,
6,lie.ren,true,no_information,2021-04-29T04:00:08+00:00,False,False,,,False,,,,
7,nora.valkyrie,true,no_information,2021-04-29T04:00:06+00:00,False,False,,,False,,,,
8,ruby.rose,true,no_information,2021-04-13T04:30:27+00:00,False,False,,,False,,,console-read-only,
9,tfadmin,true,2024-02-06T18:12:15+00:00,2024-01-06T18:26:01+00:00,True,True,2024-04-01T05:00:00+00:00,ec2,True,2024-04-11T20:01:00+00:00,iam,admin,IAMUserChangePassword
10,weiss.schnee,true,no_information,2021-04-13T04:30:27+00:00,False,False,,,False,,,console-read-only,
11,yang.xiaolong,true,no_information,2021-04-13T04:30:27+00:00,False,False,,,False,,,console-read-only,
